,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Services.PhoneService,Services.MultipleLines,Services.InternetService,Services.OnlineSecurity,Services.OnlineBackup,Services.DeviceProtection,Services.TechSupport,Services.StreamingTV,Services.StreamingMovies,predict
44,id7090,Female,0,No,No,27.6073880995,Two year,['No'],Electronic check,35.5843798326,2007.25,Yes,No,DSL,Yes,No,No,No,Yes,Yes,0.0
45,id7091,Male,0,Yes,No,19.8181064431,Two year,['Yes'],Credit card (automatic),73.5434650562,2406.1,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,0.0
46,id7093,Female,0,Yes,Yes,39.2071882401,One year,['Yes'],Bank transfer (automatic),54.3959966246,264.85,Yes,Yes,DSL,No internet service,Yes,No,No internet service,Yes,Yes,0.0
47,id7094,Female,0,Yes,No,45.6550142507,Month-to-month,['Yes'],Electronic check,48.8268139263,5968.4,No,Yes,DSL,Yes,Yes,No,No,No,No,0.0
48,id7095,Female,0,Yes,No,32.0905179578,Month-to-month,['Yes'],Bank transfer (automatic),75.7685827412,3838.75,Yes,No,Fiber optic,No,Yes,No internet service,Yes,No internet service,Yes,0.0
49,id7096,Female,0,No,Yes,20.6415482945,Two year,['No'],Electronic check,59.206110126,1067.15,Yes,No,DSL,No,No,No,Yes,No internet service,No internet service,0.0
50,id7097,Female,0,No,No,28.7493771437,Month-to-month,['No'],Credit card (automatic),38.5035072115,758.6,Yes,No,Fiber optic,No internet service,No,No internet service,No,Yes,No,0.0
51,id7098,Male,0,Yes,No,11.7126637549,Month-to-month,['Yes'],Credit card (automatic),56.0885201116,1434.6,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No,No,0.0
52,id7099,Female,0,Yes,Yes,27.3162483112,Month-to-month,['Yes'],Bank transfer (automatic),42.7074333494,151.65,Yes,No,DSL,No internet service,No internet service,Yes,No internet service,No,Yes,0.0
53,id7100,Female,1,Yes,No,19.8460982002,Month-to-month,['Yes'],Credit card (automatic),67.9935002155,1266.35,Yes,No,Fiber optic,No,No,No,No internet service,No,No,0.0
54,id7102,Female,0,Yes,No,21.6352223626,Month-to-month,['Yes'],Mailed check,100.1161131729,624.6,Yes,Yes,DSL,Yes,Yes,No,Yes,No internet service,Yes,0.0
55,id7103,Male,0,Yes,No,25.5004786663,Month-to-month,['No'],Electronic check,61.5706215736,249.95,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,0.0
56,id7104,Male,0,No,No,27.7934366192,Month-to-month,['Yes'],Mailed check,58.928214472,717.95,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,Yes,Yes,0.0
57,id7106,Male,0,No,No,16.8806618141,Two year,['Yes'],Credit card (automatic),65.1435321304,235.8,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,Yes,No,0.0
58,id7107,Male,0,No,No,33.4955022185,Month-to-month,['Yes'],Bank transfer (automatic),74.0260100738,181.7,Yes,No,DSL,No,No,No,Yes,No internet service,Yes,0.0
59,id7108,Female,0,No,No,28.7902045338,Two year,['No'],Mailed check,77.8297575786,1875.25,Yes,Yes,Fiber optic,No,No,No,No,No internet service,No,0.0
60,id7109,Male,0,No,Yes,37.9654225578,Month-to-month,['Yes'],Electronic check,81.1834436079,635.6,Yes,Yes,No,No,No,No,No,No,No internet service,0.0
61,id7111,Male,0,Yes,Yes,38.1670548953,One year,['No'],Mailed check,77.3899472094,1430.05,Yes,Yes,No,No,Yes,Yes,No internet service,No internet service,No internet service,0.0
62,id7112,Male,1,No,Yes,52.3217101775,Month-to-month,['Yes'],Mailed check,56.2915973244,1468.75,Yes,No,DSL,Yes,Yes,No,No,No,No,0.0
63,id7113,Male,0,Yes,No,65.922219411,Month-to-month,['No'],Credit card (automatic),40.0160837857,30.5,Yes,No,No,No,Yes,Yes,No,No internet service,No internet service,0.0
64,id7114,Female,0,No,Yes,52.4764387637,Month-to-month,['Yes'],Mailed check,51.390834479,530.05,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No,Yes,0.0
65,id7115,Female,0,No,Yes,41.9695902926,Two year,['Yes'],Bank transfer (automatic),67.5008889268,1319.95,Yes,No,No,No internet service,No internet service,No,Yes,No internet service,No,0.0
66,id7116,Female,0,Yes,No,1.4861740127,Month-to-month,['Yes'],Electronic check,76.1244653245,1304.85,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,No internet service,Yes,1.0
67,id7117,Female,0,Yes,No,39.7090820913,Two year,['Yes'],Mailed check,72.4521870787,3824.2,No,No,DSL,No internet service,Yes,Yes,No internet service,No,Yes,0.0
68,id7118,Female,0,Yes,Yes,63.4865677734,Month-to-month,['No'],Electronic check,60.5765175604,146.3,Yes,No,No,Yes,No,Yes,Yes,No,No,0.0
69,id7119,Female,1,Yes,No,36.7644184274,One year,['Yes'],Electronic check,46.7557461877,692.1,Yes,Yes,Fiber optic,No internet service,No,No,No,No,Yes,0.0
70,id7120,Female,0,Yes,No,33.4378860071,Month-to-month,['No'],Credit card (automatic),59.6792717742,1597.05,Yes,Yes,DSL,No,Yes,No,No internet service,Yes,No,0.0
71,id7121,Female,0,No,Yes,39.0136568485,Month-to-month,['No'],Mailed check,61.0963421248,914.3,Yes,No,Fiber optic,No,No,No,No internet service,No,No,0.0
72,id7122,Male,1,Yes,No,38.410632612,One year,['Yes'],Credit card (automatic),59.0933328173,5913.95,Yes,No,DSL,No,No internet service,No,No,No,No,0.0
73,id7123,Male,1,No,No,59.3259566265,Month-to-month,['Yes'],Electronic check,58.1722540378,830.8,Yes,No,DSL,Yes,Yes,Yes,No,No,No,0.0
74,id7124,Male,1,Yes,No,39.9892366497,Month-to-month,['Yes'],Electronic check,44.8336945374,4748.7,No,No,DSL,No internet service,No internet service,No,No,Yes,Yes,0.0
75,id7125,Female,1,Yes,No,32.8715390716,Month-to-month,['No'],Credit card (automatic),25.3180640139,469.85,Yes,No,No,No,Yes,Yes,No internet service,Yes,No internet service,0.0
76,id7126,Male,0,Yes,No,39.075346212,Month-to-month,['No'],Electronic check,93.8384552606,3772.65,Yes,No,DSL,No internet service,Yes,No internet service,Yes,No internet service,Yes,0.0
77,id7127,Female,1,No,Yes,28.2990398853,Two year,['No'],Mailed check,73.1409647293,2169.4,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,0.0
78,id7128,Male,0,No,No,26.2319222926,Month-to-month,['No'],Credit card (automatic),71.1232942264,1483.25,Yes,No,DSL,Yes,No,No,Yes,No,No,0.0
79,id7129,Female,1,Yes,No,21.2270604946,Month-to-month,['No'],Bank transfer (automatic),72.1304097129,415.55,Yes,No,DSL,No internet service,Yes,Yes,Yes,No,No,0.0
80,id7130,Female,1,Yes,No,39.5060994261,Month-to-month,['No'],Bank transfer (automatic),69.267573125,1534.75,Yes,Yes,No,No,Yes,Yes,Yes,No internet service,No,0.0
81,id7131,Female,0,Yes,Yes,36.5829091643,Two year,['Yes'],Credit card (automatic),73.3364749255,2965.75,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,Yes,No,0.0
82,id7132,Male,0,No,Yes,45.6103527653,Two year,['Yes'],Bank transfer (automatic),51.0478127411,71,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,No,No,0.0
83,id7133,Female,0,No,Yes,30.1161670835,One year,['Yes'],Mailed check,50.1252509008,4667,Yes,No,No,Yes,No internet service,No internet service,No internet service,Yes,Yes,0.0
84,id7134,Female,0,Yes,No,20.734055436,Month-to-month,['Yes'],Electronic check,37.1787360653,70,Yes,No,DSL,Yes,No,No,Yes,No,Yes,0.0
85,id7135,Female,0,Yes,Yes,52.4871575647,One year,['Yes'],Mailed check,66.5593712239,880.2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,0.0
86,id7136,Male,0,Yes,No,32.8040383721,Two year,['Yes'],Mailed check,93.2387688529,3522.65,Yes,Yes,DSL,No,No,No internet service,Yes,No internet service,Yes,0.0
87,id7137,Female,0,Yes,No,22.3004862193,One year,['Yes'],Credit card (automatic),56.2966518639,4576.3,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,Yes,No,0.0
88,id7138,Female,0,Yes,No,24.8583398168,Two year,['No'],Electronic check,76.3405218059,49.8,Yes,No,DSL,Yes,No internet service,Yes,No internet service,Yes,Yes,0.0
89,id7140,Male,0,Yes,Yes,34.8091732217,Month-to-month,['No'],Bank transfer (automatic),89.3477536858,1112.3,Yes,No,DSL,No internet service,No,No,Yes,Yes,No,0.0
90,id7141,Male,1,No,No,33.2365425402,One year,['Yes'],Credit card (automatic),72.4364690528,2861.45,Yes,Yes,Fiber optic,No,No,Yes,No,No,No internet service,0.0
91,id7142,Male,0,No,No,53.6598044817,Month-to-month,['Yes'],Electronic check,67.4281411936,4378.9,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No internet service,No,0.0
92,id7143,Male,0,No,Yes,36.9745603737,Two year,['No'],Mailed check,29.995025689,8012.75,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,0.0
93,id7144,Male,0,Yes,No,48.1667123848,Two year,['No'],Electronic check,90.2419202368,1563.9,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,0.0
94,id7145,Male,0,No,Yes,44.1425226665,Month-to-month,['Yes'],Electronic check,82.1377780304,44.4,Yes,Yes,DSL,No,Yes,No internet service,No internet service,No,Yes,0.0
95,id7146,Female,0,Yes,No,25.8518448957,Month-to-month,['No'],Mailed check,98.3366484604,862.4,Yes,No,No,No,No,Yes,No,No,No,0.0
96,id7147,Male,0,Yes,No,12.9918540702,Month-to-month,['Yes'],Bank transfer (automatic),76.5309113676,442.2,Yes,No,DSL,No,Yes,No,No internet service,Yes,No,0.0
97,id7148,Male,0,No,Yes,27.1587259907,One year,['Yes'],Mailed check,56.1756459984,2016.45,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,Yes,No internet service,0.0
98,id7149,Female,1,Yes,Yes,31.9599160516,Month-to-month,['Yes'],Bank transfer (automatic),71.787928357,741.5,No,Yes,DSL,Yes,Yes,No,No,No,Yes,0.0
99,id7150,Male,0,No,No,22.9162464731,One year,['Yes'],Electronic check,49.6677662368,253.9,Yes,No,DSL,No,No internet service,Yes,No,No internet service,Yes,0.0
100,id7151,Female,0,Yes,Yes,19.7612023992,Month-to-month,['No'],Electronic check,78.9679638735,2386.85,Yes,No,DSL,No internet service,No,No internet service,No internet service,No internet service,No internet service,0.0
101,id7152,Male,0,No,No,20.8988197143,Two year,['No'],Credit card (automatic),54.2597776239,6859.5,Yes,Yes,DSL,Yes,No,No,No,No,No internet service,0.0
102,id7154,Female,0,No,No,36.5693722418,Month-to-month,['Yes'],Credit card (automatic),48.524694061,5760.65,Yes,Yes,No,No internet service,Yes,Yes,No,No,No,0.0
103,id7155,Female,0,No,Yes,38.5582213371,Month-to-month,['No'],Electronic check,89.2848721323,731.3,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,0.0
104,id7156,Male,0,Yes,No,26.7228974731,Month-to-month,['No'],Mailed check,54.4348035882,512.25,Yes,Yes,No,No internet service,Yes,Yes,No,Yes,Yes,0.0
105,id7157,Female,0,Yes,Yes,46.7852962525,Month-to-month,['Yes'],Mailed check,71.2792293775,196.35,Yes,Yes,No,No,No,Yes,Yes,No,No,0.0
106,id7158,Male,0,Yes,No,30.9741987024,One year,['Yes'],Mailed check,50.6130562305,18.9,Yes,No,No,No,Yes,No,No internet service,No internet service,Yes,0.0
107,id7159,Male,0,No,No,34.3901648294,Month-to-month,['No'],Electronic check,55.5052670399,1177.05,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No,Yes,0.0
108,id7160,Male,0,No,No,28.4712108034,Two year,['No'],Credit card (automatic),82.5351079884,25,Yes,No,DSL,Yes,No,No,Yes,No internet service,No,0.0
109,id7161,Female,0,No,No,43.6867775889,Month-to-month,['No'],Credit card (automatic),55.6490033283,962.25,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,No,Yes,0.0
110,id7163,Male,0,No,No,45.4505566047,One year,['No'],Bank transfer (automatic),67.1666702811,1045.25,Yes,Yes,No,Yes,No,No,No internet service,No,No internet service,0.0
111,id7164,Female,0,Yes,No,27.8657467096,Two year,['No'],Mailed check,53.3207516259,6766.95,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,0.0
112,id7165,Male,0,Yes,Yes,54.3515712933,One year,['Yes'],Electronic check,71.0258481706,6000.1,Yes,No,No,Yes,Yes,No internet service,No,Yes,No,0.0
113,id7166,Male,0,Yes,Yes,48.346235309,Two year,['Yes'],Mailed check,50.8114032404,3959.15,Yes,No,DSL,No,Yes,No,No,Yes,No internet service,0.0
114,id7167,Female,1,No,No,41.9820120824,Month-to-month,['No'],Bank transfer (automatic),74.719609496,249.95,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,Yes,Yes,0.0
115,id7168,Male,0,No,No,33.6451306344,Month-to-month,['Yes'],Bank transfer (automatic),57.09910968,4619.55,Yes,No,DSL,Yes,No,No,No internet service,No,Yes,0.0
116,id7169,Female,1,Yes,Yes,41.6300027341,Month-to-month,['Yes'],Credit card (automatic),62.1001733011,533.9,No,No,No,No,No,No,No internet service,No,Yes,0.0
117,id7170,Female,0,Yes,No,31.8620728456,One year,['Yes'],Credit card (automatic),55.6449494221,1047.7,Yes,Yes,Fiber optic,No,No internet service,No,No,Yes,No internet service,0.0
118,id7171,Male,0,No,No,16.5796446029,Month-to-month,['Yes'],Mailed check,57.0213405956,605.75,Yes,No,Fiber optic,No internet service,No,No internet service,No,Yes,Yes,0.0
119,id7172,Female,0,Yes,No,37.6362936994,Two year,['Yes'],Bank transfer (automatic),51.7890930492,658.95,Yes,Yes,Fiber optic,No,No,No,No internet service,No internet service,No,0.0
120,id7173,Female,0,No,Yes,41.461815004,Month-to-month,['Yes'],Bank transfer (automatic),51.3223197884,1510.5,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,Yes,No,0.0
121,id7174,Female,0,No,Yes,43.1209651584,Two year,['No'],Mailed check,44.1043750647,2780.6,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,0.0
122,id7175,Male,0,Yes,No,38.4024868865,Month-to-month,['Yes'],Credit card (automatic),70.8135654837,86.35,Yes,No,DSL,No,Yes,Yes,No,Yes,No,0.0
123,id7176,Female,0,No,No,21.937007347,One year,['Yes'],Electronic check,72.9964153911,3887.85,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No,Yes,0.0
124,id7177,Female,0,No,No,25.6308179487,Month-to-month,['Yes'],Credit card (automatic),65.7910353222,1341.5,Yes,No,Fiber optic,No,No internet service,No internet service,No,No,Yes,0.0
125,id7178,Female,0,Yes,Yes,30.1212598194,Two year,['No'],Credit card (automatic),62.6652394319,1901.65,No,Yes,DSL,No,Yes,No,No internet service,Yes,Yes,0.0
126,id7179,Female,1,Yes,No,42.1426293428,Month-to-month,['Yes'],Bank transfer (automatic),86.8188823229,7548.1,Yes,Yes,No,Yes,Yes,No,No,Yes,No,0.0
127,id7180,Male,1,No,No,44.9919466763,One year,['No'],Electronic check,68.3645629266,374.5,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,0.0
128,id7181,Female,1,Yes,No,26.0752035208,Two year,['Yes'],Mailed check,73.5002662325,314.6,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,0.0
129,id7182,Female,0,No,No,25.6567794258,Month-to-month,['Yes'],Electronic check,56.5851261368,6019.35,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No,0.0
130,id7183,Female,0,No,No,22.6479035247,Month-to-month,['Yes'],Electronic check,80.2374665534,209.1,Yes,No phone service,Fiber optic,Yes,No,No,No,No,No,0.0
131,id7184,Female,0,No,No,40.5010387539,One year,['Yes'],Credit card (automatic),105.502667895,288.05,Yes,Yes,No,No internet service,Yes,Yes,No,No,No,0.0
132,id7185,Female,0,No,No,18.4713608778,One year,['Yes'],Electronic check,78.8585167965,4916.95,Yes,No,Fiber optic,No,No internet service,Yes,No,No,Yes,0.0
133,id7186,Female,0,Yes,No,33.4990440321,Month-to-month,['No'],Mailed check,72.683263427,3778.85,Yes,No,No,No,No internet service,No,No,No,No internet service,0.0
134,id7187,Male,1,No,No,25.8144376593,One year,['Yes'],Bank transfer (automatic),82.7540184274,5034.05,Yes,Yes,No,Yes,Yes,Yes,No,No,No internet service,0.0
135,id7188,Male,0,No,No,30.6159688727,Month-to-month,['No'],Electronic check,60.7282175174,2007.25,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,0.0
136,id7189,Male,0,No,Yes,37.5922383077,One year,['Yes'],Mailed check,49.3860445579,1887,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,0.0
137,id7190,Male,0,No,Yes,46.1249102328,Month-to-month,['Yes'],Credit card (automatic),79.5130354565,6239.05,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No internet service,Yes,0.0
138,id7191,Female,0,No,No,29.4290073783,Month-to-month,['No'],Electronic check,64.3085170646,669.45,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,0.0
139,id7192,Female,0,Yes,Yes,35.6590930984,One year,['Yes'],Bank transfer (automatic),71.6631616291,6292.7,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,No internet service,0.0
140,id7193,Male,0,No,Yes,44.3557603792,Month-to-month,['Yes'],Credit card (automatic),56.4300473857,364.55,Yes,Yes,No,No,Yes,No,No internet service,Yes,Yes,0.0
141,id7194,Female,0,No,No,39.6285708039,Two year,['Yes'],Credit card (automatic),58.0295323199,45.05,Yes,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,0.0
142,id7195,Female,1,Yes,No,31.7857300376,Two year,['Yes'],Mailed check,67.2477718478,1374.35,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,Yes,0.0
143,id7196,Female,0,Yes,No,39.3361865886,Month-to-month,['No'],Bank transfer (automatic),57.8873855502,6890,Yes,Yes,No,No,No,No,No internet service,Yes,Yes,0.0
144,id7197,Male,1,No,Yes,19.1154443231,Month-to-month,['Yes'],Bank transfer (automatic),72.051594753,324.8,Yes,No,Fiber optic,No internet service,Yes,No,No,No internet service,Yes,0.0
145,id7198,Female,0,No,Yes,41.9066223213,Month-to-month,['No'],Credit card (automatic),89.9231861733,3532.25,Yes,No,Fiber optic,No,No,No internet service,No internet service,Yes,Yes,0.0
146,id7199,Male,0,No,Yes,25.5384899532,Month-to-month,['No'],Bank transfer (automatic),60.5748873296,1022.95,Yes,No phone service,No,No,No internet service,Yes,No internet service,Yes,No,0.0
147,id7200,Male,0,Yes,No,32.897591921,Two year,['No'],Credit card (automatic),45.2914579593,7030.65,Yes,Yes,DSL,No internet service,Yes,Yes,No,No internet service,Yes,0.0
148,id7201,Male,1,Yes,No,37.3255441066,Month-to-month,['Yes'],Credit card (automatic),78.9652139886,651.55,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,No,0.0
149,id7202,Female,0,Yes,No,23.5020514406,Month-to-month,['Yes'],Bank transfer (automatic),77.0738013917,73.5,No,No,Fiber optic,No internet service,No,Yes,No,Yes,No,0.0
150,id7203,Male,0,No,Yes,30.7848569375,One year,['No'],Bank transfer (automatic),69.4167396557,1259.35,No,No,Fiber optic,No,No,No,No,No,No internet service,0.0
151,id7204,Female,0,Yes,No,11.171142589,Two year,['No'],Bank transfer (automatic),66.8480093651,1028.9,Yes,No,DSL,No internet service,No,No internet service,No,Yes,Yes,0.0
